numero_de_cliente,foto_mes,active_quarter,cliente_vip,internet,cliente_edad,cliente_antiguedad,mrentabilidad,mrentabilidad_annual,mcomisiones,mactivos_margen,mpasivos_margen,cproductos,tcuentas,ccuenta_corriente,mcuenta_corriente_adicional,mcuenta_corriente,ccaja_ahorro,mcaja_ahorro,mcaja_ahorro_adicional,mcaja_ahorro_dolares,cdescubierto_preacordado,mcuentas_saldo,ctarjeta_debito,ctarjeta_debito_transacciones,mautoservicio,ctarjeta_visa,ctarjeta_visa_transacciones,mtarjeta_visa_consumo,ctarjeta_master,ctarjeta_master_transacciones,mtarjeta_master_consumo,cprestamos_personales,mprestamos_personales,cprestamos_prendarios,mprestamos_prendarios,cprestamos_hipotecarios,mprestamos_hipotecarios,cplazo_fijo,mplazo_fijo_dolares,mplazo_fijo_pesos,cinversion1,minversion1_pesos,minversion1_dolares,cinversion2,minversion2,cseguro_vida,cseguro_auto,cseguro_vivienda,cseguro_accidentes_personales,ccaja_seguridad,cpayroll_trx,mpayroll,mpayroll2,cpayroll2_trx,ccuenta_debitos_automaticos,mcuenta_debitos_automaticos,ctarjeta_visa_debitos_automaticos,mttarjeta_visa_debitos_automaticos,ctarjeta_master_debitos_automaticos,mttarjeta_master_debitos_automaticos,cpagodeservicios,mpagodeservicios,cpagomiscuentas,mpagomiscuentas,ccajeros_propios_descuentos,mcajeros_propios_descuentos,ctarjeta_visa_descuentos,mtarjeta_visa_descuentos,ctarjeta_master_descuentos,mtarjeta_master_descuentos,ccomisiones_mantenimiento,mcomisiones_mantenimiento,ccomisiones_otras,mcomisiones_otras,cforex,cforex_buy,mforex_buy,cforex_sell,mforex_sell,ctransferencias_recibidas,mtransferencias_recibidas,ctransferencias_emitidas,mtransferencias_emitidas,cextraccion_autoservicio,mextraccion_autoservicio,ccheques_depositados,mcheques_depositados,ccheques_emitidos,mcheques_emitidos,ccheques_depositados_rechazados,mcheques_depositados_rechazados,ccheques_emitidos_rechazados,mcheques_emitidos_rechazados,tcallcenter,ccallcenter_transacciones,thomebanking,chomebanking_transacciones,ccajas_transacciones,ccajas_consultas,ccajas_depositos,ccajas_extracciones,ccajas_otras,catm_trx,matm,catm_trx_other,matm_other,ctrx_quarter,tmobile_app,cmobile_app_trx,Master_delinquency,Master_status,Master_mfinanciacion_limite,Master_Fvencimiento,Master_Finiciomora,Master_msaldototal,Master_msaldopesos,Master_msaldodolares,Master_mconsumospesos,Master_mconsumosdolares,Master_mlimitecompra,Master_madelantopesos,Master_madelantodolares,Master_fultimo_cierre,Master_mpagado,Master_mpagospesos,Master_mpagosdolares,Master_fechaalta,Master_mconsumototal,Master_cconsumos,Master_cadelantosefectivo,Master_mpagominimo,Visa_delinquency,Visa_status,Visa_mfinanciacion_limite,Visa_Fvencimiento,Visa_Finiciomora,Visa_msaldototal,Visa_msaldopesos,Visa_msaldodolares,Visa_mconsumospesos,Visa_mconsumosdolares,Visa_mlimitecompra,Visa_madelantopesos,Visa_madelantodolares,Visa_fultimo_cierre,Visa_mpagado,Visa_mpagospesos,Visa_mpagosdolares,Visa_fechaalta,Visa_mconsumototal,Visa_cconsumos,Visa_cadelantosefectivo,Visa_mpagominimo,clase_ternaria
29190113,202107,1,0,0,43,183,5680.01,-5983.54,2879.67,-205.52,2592.85,11,1,1,0,-2156.49,2,45154.13,0,7.94,1,-942.28,1,13,23646.17,1,99,211124.45,1,0,0,5,72116.61,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,402306.15,0,0,1,62.75,6,18986.61,0,0,0,0,1,6257.95,0,0,2,,0,0,0,0,14,2879.67,0,0,0,0,0,3,501963.06,2,7741.8,9,105570,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,9,105570,0,0,240,1,1,0,0,1076114.32,-303,,0,0,0,,,1195707.77,,,3,0,,,2627,,,,0,0,0,1402814.16,-303,,180393.28,211205.69,395.61,29682.24,4.09,1558682.4,0,0,3,0,-331436.76,11.24,2627,29682.24,13,0,23718.06,CONTINUA
29192179,202107,1,0,0,55,315,2559.97,18149.25,5036.66,-5374.82,3263.41,10,1,1,0,-1528.86,2,7230.4,0,847.18,1,7730.39,1,0,0,1,23,42836.57,1,3,12907.15,0,0,0,0,0,0,0,0,0,1,236910.46,0,0,0,1,0,1,1,0,0,0,0,0,2,8393.09,4,7091.05,1,6432.73,0,0,0,0,0,0,0,0,0,0,0,0,16,5210.2,0,0,0,0,0,2,20261.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0,0,0,0,0,0,84,0,0,0,0,76010.4,-486,,13045.55,13045.55,0,6432.73,0,84456,0,0,10,0,-12922.16,0,4646,6432.73,1,0,3624.57,0,0,63342,-851,,36618.24,42953.19,0,25251.35,0,70380,0,0,10,0,-28065.53,0,4646,25251.35,13,0,3612.84,CONTINUA
29193101,202107,1,0,0,69,379,890.03,138932.99,2649.61,-3532.59,2032.52,8,1,1,0,0,4,38187.42,0,23121.2,1,109669.93,2,7,8632.54,1,14,67536.94,1,55,100689.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,45.16,4,25482.43,0,0,0,0,3,14276.61,0,0,0,0,4,915.63,1,2793.86,12,2649.61,0,0,0,0,0,3,49328.54,3,56061.03,1,3519,0,0,0,0,0,0,0,0,0,0,1,328,0,0,0,0,0,1,3519,0,0,237,0,1,0,0,253368,-486,,210275.14,210275.14,0,69016.12,0,281520,0,0,10,11997.6,-187680,0,2452,69016.12,48,0,23530.38,0,0,253368,-851,,124545.01,146091.29,0,26315.26,0,281520,0,0,10,40521.29,-71529.52,0,2452,26315.26,5,0,17712.3,CONTINUA
29193281,202107,1,0,0,55,172,16834.93,58342.21,17735.83,-1433.36,665.33,9,1,1,0,4210.68,2,1917.37,0,152573.63,1,163815.52,1,0,0,1,6,43132.42,1,7,7163.98,0,0,0,0,0,0,0,0,0,4,2320991.83,0,0,0,0,0,0,0,2,0,0,0,0,1,70.49,2,40344.18,7,7163.98,0,0,4,37566.62,0,0,0,0,0,0,0,0,84,18734.06,0,0,0,0,0,0,0,1,1876.8,0,0,3,123968.5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,107,0,1,0,0,547069.18,-486,,7249.94,7249.94,0,7163.98,0,607942.81,0,0,3,0,-62592.14,0,3551,7163.98,7,0,363.63,0,0,547069.18,-242,,37240.84,43683.5,0,43132.42,0,607942.81,0,0,3,0,-35325.23,0,3776,43132.42,6,0,2275.62,CONTINUA
29193324,202107,1,0,0,69,285,18151.35,126919.72,128.07,-60.74,15425.85,9,1,1,0,0,3,265845.68,23973.01,5.66,1,227884.39,2,5,12082.48,2,6,8451.38,0,0,0,0,0,0,0,0,0,3,2932500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11367.63,2,1595.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,128.07,0,0,0,0,0,0,0,0,0,8,93840,0,0,0,0,0,0,0,0,1,9,1,10,0,0,0,0,0,8,93840,0,0,80,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,126684,-1521,,7291.39,8552.8,0,1595.28,0,140760,0,0,3,0,-7870.52,0,6155,1595.28,2,0,1431.06,CONTINUA
29195356,202107,1,0,0,64,285,3056.18,25824.79,1185.53,0,1594.75,8,1,1,0,0,4,118895.76,0,111.14,1,132910.55,3,12,49941.44,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,8961.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1774.04,6,1185.53,0,0,0,0,0,0,0,0,0,5,116127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,116127,0,0,67,0,0,0,0,44339.4,-1460,,0,0,0,,,49266,,,3,0,,,3657,,,,0,0,0,50673.6,-1825,,0,0,0,,,56304,,,3,0,,,5869,,,,0,CONTINUA
29195433,202107,1,0,0,45,200,-3874.33,-20402.71,299.67,-4324.65,766.24,8,1,1,0,0,2,54363.57,0,43.09,1,38294.82,1,18,67115.37,1,11,13356.79,1,4,8455.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,75469.64,0,0,1,117.3,5,699.49,0,0,0,0,5,9602.18,0,0,0,0,0,0,0,0,8,299.67,0,0,0,0,0,4,104409.9,5,22637.72,0,0,0,0,0,0,0,0,0,0,0,0,1,137,0,0,0,0,0,0,0,0,0,118,0,1,0,0,999959.04,-242,,8523.2,8557.21,-34,0,0,1111065.6,0,0,3,0,-11986.15,0,4876,0,0,0,3554.19,0,0,1399942.65,-425,,11523.51,13517.07,0,1582.48,0,1555491.84,0,0,10,0,-18019.43,23.72,5791,1582.48,6,0,3260.94,CONTINUA
29196099,202107,1,0,0,59,326,3074.8,21448.96,3846.44,-1906.27,1248.44,6,1,1,0,-83.03,2,25333.51,0,0,1,59891.87,2,0,0,1,29,60066.86,1,8,46444.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,268.18,3,14709.4,2,1684.82,0,0,0,0,0,0,0,0,1,,1,1888.04,10,3846.44,0,0,0,0,0,1,46920,0,0,14,82110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,82110,0,0,102,0,1,0,0,101347.2,-242,,46444.17,46444.17,0,43279.4,0,112608,0,0,3,0,-2561.7,0,7453,43279.4,5,0,1876.8,0,0,202694.4,-517,,51335.26,60216.25,0,24333.46,2.45,225216,0,0,3,0,-49769.51,0,8280,24333.46,8,0,4715.46,CONTINUA
29196902,202107,1,0,0,59,275,8007.2,60279.4,2714.41,2963.38,1548.8,8,1,1,0,-20244.07,2,7141.16,0,35.15,1,23508.23,2,10,38481.75,1,30,39958.02,1,15,45823.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,139033.34,0,0,0,0,15,9233.46,2,995.22,0,0,6,24996.06,0,0,0,0,3,706.22,0,0,12,2714.41,0,0,0,0,0,1,209516.56,5,114954,0,0,1,22052.4,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,201,0,1,0,0,177357.6,-1338,,234700.64,234700.64,0,26666.19,0,197064,0,0,3,0,-50614.95,0,4899,26666.19,8,0,57336.24,0,0,202694.4,-1126,,235904.71,276716.22,0,29274.97,1.72,225216,0,0,10,0,-49289.46,0,5119,29274.97,26,0,74016.3,CONTINUA
29198055,202107,1,0,0,53,283,-5141.43,-46180.97,322.36,-5503.5,845.53,7,1,1,0,0,2,48196.75,0,120258.15,1,238761.95,2,2,270.35,1,24,35790.27,1,7,4636.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,159284.01,0,0,0,0,1,626.19,0,0,0,0,7,12912.63,0,0,0,0,0,0,0,0,10,322.36,0,0,0,0,0,3,163976.01,0,0,8,163633.5,0,0,0,0,0,0,0,0,0,0,1,135,0,0,0,0,0,5,123165,3,40468.5,95,0,0,0,0,177357.6,-607,,4692.02,4692.02,0,1563.32,0,197064,0,0,3,0,-5103.14,0,2320,1563.32,2,0,351.9,0,0,253368,-729,,30871.47,36212.23,0,9256.88,0,281520,0,0,3,0,-34663.63,0,8042,9256.88,7,0,7084.92,CONTINUA
29198891,202107,1,0,0,55,326,5720.68,37920.91,538.31,-840.13,5258.18,7,1,1,0,0,2,321599.2,0,0,1,351235.91,2,0,0,1,14,113833.64,1,1,1945.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11303.29,1,1945.03,0,0,0,0,0,0,0,0,0,0,0,0,4,538.31,0,0,0,0,0,2,201828.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,104,0,0,0,0,0,0,0,0,0,38,0,0,0,0,177357.6,-425,,1968.37,1968.37,0,1945.03,0,197064,0,0,3,1968.37,-19223.51,0,7628,1945.03,1,0,93.84,0,0,177357.6,-1491,,98209.42,115199.64,0,104796.4,0,197064,0,0,3,0,-29781.02,0,7668,104796.4,12,0,6697.83,CONTINUA
29199242,202107,1,0,0,49,283,1066.24,7607.69,491.15,178.13,312.14,6,1,1,0,0,3,2.47,23347.09,0,0,10166.68,1,50,91815.94,0,0,0,0,0,0,1,77579.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,60240.58,0,0,0,0,0,0,0,0,0,0,0,0,3,73.78,0,0,0,0,0,0,2,491.15,0,0,0,0,0,2,31996.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONTINUA
29200335,202107,1,0,0,46,262,3526.73,36390.28,1285.4,-1039.49,2950.25,8,1,1,0,0,2,213618.31,0,47911.83,1,79247.66,4,20,96187.36,1,6,20100.45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,171901.56,0,0,11,14029.92,0,0,0,0,0,0,5,15291.34,0,0,0,0,0,0,0,0,8,1285.4,0,0,0,0,0,1,178399.62,0,0,10,187680,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,10,187680,0,0,187,0,0,0,0,177357.6,-2068,,0.58,0.58,0,,,197064,,,17,0,,,6365,,,,0,0,0,202694.4,-2159,,17341.57,20341.66,0,10032.38,0,225216,0,0,3,0,-24083.5,0,2253,10032.38,3,0,1642.2,CONTINUA
29200343,202107,1,0,0,55,326,1258.33,-29771.1,3347.3,-2619.19,838.31,7,1,1,0,0,2,35487.14,0,0,1,54228.97,3,3,13218.66,1,28,31909.99,1,9,11018.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2902.87,7,9712.24,0,0,0,0,0,0,0,0,0,0,0,0,1,3007.14,10,3347.3,0,0,0,0,0,7,159965.28,0,0,2,58650,0,0,0,0,0,0,0,0,0,0,1,112,0,0,0,0,0,2,58650,0,0,115,0,1,0,0,202694.4,-333,,11150.72,11150.72,0,1286.93,0,225216,0,0,17,11150.72,-14891.55,0,7368,1286.93,1,0,1278.57,0,0,253368,-973,,38214.25,44484.11,341.2,14093.25,0.04,281520,0,0,3,0,-48122.77,3.53,8543,14093.25,11,0,18521.67,CONTINUA
29200514,202107,1,0,0,62,304,-6618.2,-24678.03,1489.97,-8774.59,1862.24,7,1,1,0,0,2,66561.8,0,92413.36,1,60426.06,1,8,50086.61,1,30,151301.46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18120.9,6,38147.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1489.97,1,0,0,1,234.6,6,247490.44,3,46912.18,2,23460,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,0,0,0,2,23460,124,1,1,0,0,1399475.5,-1794,,0,0,0,,,1554972.78,,,10,0,,,7709,,,,0,0,0,1393378.84,-1003,,130921.56,153570.98,0,74579.17,0,1548198.71,0,0,24,153570.98,-144258.23,0,9245,74579.17,11,0,16386.81,CONTINUA
29200651,202107,1,0,0,66,9,1570.86,13395.31,695.61,-1562.27,2308.44,5,1,1,0,0,2,96181.7,0,0,1,65621,1,5,18596.87,1,5,61014.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,284343.85,0,0,0,0,3,59141.53,0,0,0,0,4,79554.27,0,0,0,0,0,0,0,0,6,695.61,0,0,0,0,0,0,0,3,48767.47,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0,0,54,0,1,,,,,,,,,,,,,,,,,,,,,,,0,0,202694.4,-1947,,52558.68,61651.33,0,60428.46,0,225216,0,0,3,0,-52027.96,0,261,60428.46,4,0,3108.45,CONTINUA
29200727,202107,1,0,0,74,261,21890.22,206711.08,1203.6,-1540.18,19175.83,10,1,1,0,0,3,915230.62,346768.96,8057.88,1,971723.89,4,0,0,1,16,62377.4,1,0,0,0,0,0,0,0,0,2,1876800,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,7643.85,1,3523.68,0,0,0,0,1,111355.55,0,0,0,0,0,0,0,0,8,1203.6,1,0,0,1,234.6,2,76244.12,3,154926.12,0,0,0,0,0,0,0,0,0,0,0,0,1,139,1,1,1,3,0,0,0,0,0,90,1,1,0,0,890749.09,-333,,0,0,0,,,989721.21,,,24,0,,,7368,,,,0,0,0,1073553.21,-456,,53365.22,62597.4,0,27302.06,0,1192862.03,0,0,10,0,-73610.61,0,7958,27302.06,7,0,3214.02,CONTINUA
