learning_rate	feature_fraction	num_leaves	min_data_in_leaf	y	dob	eol	error.message	exec.time	ei	error.model	train.time	prop.type	propose.time	se	mean	num_iterations	iter
0.0101269725197984	0.875098032490886	9	5388	0.903975440890228	17			255.758000000001	-0.000253230073211047		0.0259999999998399	infill_ei	0.415999999999258	0.000701566141781135	0.905164643851245	902	33
0.0100017959378782	0.476351372934051	1470	5171	0.903869303213893	23			545.893	-0.000198603075493892		0.0480000000006839	infill_ei	0.411000000000058	0.00153865817788977	0.905007574361286	907	39
0.101636915282849	0.143212962995921	428	7467	0.903795551664514	22			103.827	-0.000422271783418586		0.0360000000000582	infill_ei	0.463999999999942	0.000778483389310406	0.906378361388287	152	38
0.0101206109038279	0.101078882591993	9	7443	0.90379026840227	11			472.887	-0.000574689387113167		0.0280000000002474	infill_ei	0.429999999999382	0.00191877971665028	0.904801950796845	1673	27
0.0524728294006429	0.369396704548158	527	5640	0.90375983707674	0			167.441				initdesign				182	13
0.149805260296444	0.954836303746491	209	6347	0.903743137066873	0			72.5840000000003				initdesign				45	14
0.010125442731197	0.999628329684793	2033	5199	0.903725687516598	15			267.286	-0.000331319442968229		0.0469999999995707	infill_ei	0.458000000000538	0.00181062277588189	0.904224952712587	624	31
0.0100607104578152	0.101061732462518	30	4861	0.903700063992405	12			354.786	-0.00054580025669861		0.0410000000001673	infill_ei	0.726999999999862	0.00106899546209952	0.905440246545382	1056	28
0.0101348797902328	0.100358374593555	1948	1912	0.903693869142887	1			327.609	-0.00155029201489859		0.0579999999999927	infill_ei	0.416999999999916	0.00227860010344481	0.905832430423901	834	17
0.0976132170300076	0.10108579263188	8	6520	0.90359029193722	18			95.4570000000003	-0.000326773533166405		0.0320000000001528	infill_ei	0.628999999999905	0.00129038433808956	0.904786052268429	183	34
0.0872474991626176	0.134138528369848	1391	1405	0.903388765531909	0			100.282				initdesign				80	8
0.0388119166330734	0.760292080602842	319	3969	0.903333825954584	0			130.36				initdesign				173	6
0.0100063968765151	0.758069481250238	2048	3072	0.903257498942402	29			269.719999999999	-0.000201397312161791		0.0369999999984429	infill_ei	0.460000000000946	0.00164128574298964	0.904882038991283	509	45
0.0329794160172135	0.999401628342651	1482	7743	0.902997515883129	4			144.361	-0.000999224907955929		0.0250000000005457	infill_ei	0.393000000000029	0.00290870990525077	0.904412912249192	304	20
0.118333599472927	0.144411954269851	1723	6493	0.90296142169111	2			92.7600000000002	-0.000678002301650767		0.0340000000001055	infill_ei	0.465999999999895	0.00220349945651504	0.904314410138646	103	18
0.102854628604985	0.562902348441116	1440	2570	0.902795634163849	0			143.389				initdesign				61	5
0.148966582873927	0.998696892347597	1278	7513	0.902728753965026	5			73.3159999999998	-0.000481251785633768		0.0379999999995562	infill_ei	0.592999999999847	0.00174094572820835	0.904272162682272	53	21
0.16015194275221	0.231085103766981	402	4822	0.902159236639348	0			94.7660000000001				initdesign				48	4
0.188424167959986	0.410295460186732	2048	7359	0.902131409265862	25			109.725	-0.000172771238862944		0.0410000000010768	infill_ei	0.467999999998938	0.00241859732274992	0.903564767199274	39	41
0.0819437990735794	0.103603662754704	2047	7996	0.902083520878957	16			117.997	-0.000206049829044615		0.0330000000003565	infill_ei	0.446999999999207	0.00147966957689709	0.90416151669541	221	32
0.254238967442613	0.681475570593476	127	6768	0.901996442295353	0			71.288				initdesign				25	7
0.28480798601378	0.310558438351123	943	7283	0.901349126299584	0			95.2220000000002				initdesign				34	15
0.222600514740836	0.497763641471937	1254	2435	0.898882249439977	0			134.973				initdesign				26	2
0.0306556419550862	0.463997799387698	1997	1	0.898732954997296	30			615.996999999999	-0.000256335833024038		0.0419999999994616	infill_ei	0.429000000000087	0.00242012636032181	0.904068387182325	401	46
0.244931796699137	0.171718223705513	705	4427	0.898130875641153	0			80.4409999999998				initdesign				36	1
0.194436323510804	0.893546725855027	1041	3135	0.897929275650969	0			90.8109999999997				initdesign				27	9
0.276590854683372	0.793971657580371	1876	1	0.890378321090484	0			41.9209999999998				initdesign				34	12
0.189751498402955	0.474359181089201	803	525	0.889913985858085	0			187.683				initdesign				58	10
